City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tuatapere,NZ,52.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
1,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
4,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Albatross Hotel
7,Mount Gambier,AU,69.17,clear sky,-37.8333,140.7667,The Commodore
10,Lagoa,PT,60.01,overcast clouds,39.05,-27.9833,Casa Das Faias
11,Sao Joao Da Barra,BR,71.8,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
14,Iguape,BR,73.81,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
17,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
18,Port Lincoln,AU,72.23,clear sky,-34.7333,135.8667,Port Lincoln Hotel
21,Gombe,NG,75.42,overcast clouds,10.2897,11.1673,Shinani Lodge
22,Codrington,AU,68.04,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
25,Atuona,PF,77.47,light rain,-9.8,-139.0333,Villa Enata
27,Lang Son,VN,53.2,overcast clouds,21.8333,106.7333,Khai Nga Hotel
28,Albany,US,49.8,overcast clouds,42.6001,-73.9662,
31,Rikitea,PF,78.8,light rain,-23.1203,-134.9692,People ThankYou
34,San Felipe,VE,70.66,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
36,Hilo,US,67.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
38,Sacama,EC,49.48,light rain,-3.9,-79.2667,Pachito Cuenca
39,Rancho Palos Verdes,US,73.22,clear sky,33.7445,-118.387,Terranea Resort
40,Airai,TL,66.4,overcast clouds,-8.9266,125.4092,
42,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Iberia,US,48.97,mist,29.9502,-91.7507,back to back rv park
45,Pisco,PE,68.05,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
47,Punta Arenas,CL,53.71,broken clouds,-53.15,-70.9167,Hotel Hain
48,New Norfolk,AU,64.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,Kilimatinde,TZ,79.12,light rain,-5.85,34.95,
51,Puerto Carreno,CO,78.76,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
52,Constitucion,CL,59.94,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
53,Kapaa,US,70.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Riyadh,SA,62.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
56,Bethel,US,50.34,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
58,Hasaki,JP,43.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
59,Ancud,CL,54.93,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
60,Busselton,AU,76.08,clear sky,-33.65,115.3333,Observatory Guest House
62,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hostel Del Puerto
63,Hobart,AU,65.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
64,Topolobampo,MX,57.58,clear sky,25.6,-109.05,Hotel Marina Topolobampo
66,Chuy,UY,68.16,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
67,Kaitangata,NZ,52.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
68,Bluff,NZ,52.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
77,Itoman,JP,71.62,light intensity drizzle,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
78,Lebu,CL,56.08,clear sky,-37.6167,-73.65,Hostal Las Lilas
82,Kieta,PG,78.55,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
83,Katsuura,JP,46.51,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
84,Namatanai,PG,79.21,light rain,-3.6667,152.4333,Seagulls Inn Namatani
85,Ponta Do Sol,PT,64.13,clear sky,32.6667,-17.1,Hotel do Campo
88,Tateyama,JP,46.42,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
91,Ribeira Grande,PT,61.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
94,Taltal,CL,65.88,few clouds,-25.4,-70.4833,Residencial Karime
96,Samfya,ZM,72.05,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
97,Launceston,AU,65.84,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
98,Mar Del Plata,AR,62.1,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Pauini,BR,72.1,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
103,Cidreira,BR,72.0,clear sky,-30.1811,-50.2056,Hotel Castelo
105,Nabire,ID,78.15,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
109,Castro,BR,57.38,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
114,Rimini,IT,49.5,broken clouds,44.0241,12.5186,La combriccola B&B
115,Victoria,HK,71.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
118,Sola,VU,77.9,overcast clouds,-13.8833,167.55,Leumerus Bungalows
119,Lago Da Pedra,BR,71.64,overcast clouds,-4.3333,-45.1667,
120,Ulladulla,AU,67.1,overcast clouds,-35.35,150.4667,Sandpiper Motel
121,Santa Lucia,ES,60.12,few clouds,27.9117,-15.5407,Las Tirajanas
122,Talcahuano,CL,53.28,clear sky,-36.7167,-73.1167,departamento comodo
124,Oswego,US,43.02,overcast clouds,43.4501,-76.1497,S & E Mobile Home Park
125,Barra Do Garcas,BR,68.81,broken clouds,-15.89,-52.2567,Pousada Tropical
129,Redlands,US,70.97,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
130,Dingle,PH,79.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
133,Artyom,AZ,51.94,scattered clouds,40.4723,50.333,Merdan Respect
135,Guerrero Negro,MX,61.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
136,Majene,ID,77.72,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
137,Biggar,GB,46.54,overcast clouds,55.6167,-3.5167,The Mill Bed and Breakfast
139,Amapa,BR,71.55,overcast clouds,1.0,-52.0,
144,Westport,US,51.62,clear sky,41.1415,-73.3579,The Westport Inn
145,La Romana,DO,76.73,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
148,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
151,Havelock,US,57.92,few clouds,34.8791,-76.9013,Sherwood Motel
153,Santa Vitoria Do Palmar,BR,68.32,broken clouds,-33.5189,-53.3681,Hostel Comodoro
156,Buenos Aires,AR,58.95,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
157,Huaibei,CN,49.86,light rain,33.9744,116.7917,Jinjiang Hotel
