City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,52.83,72,96,7.7,overcast clouds
1,Touros,BR,-5.1989,-35.4608,77.9,82,92,7.18,overcast clouds
2,Karaton,ID,-6.3424,106.1045,86.95,59,100,5.82,overcast clouds
3,Jamestown,US,42.097,-79.2353,38.08,65,75,9.22,broken clouds
4,Ushuaia,AR,-54.8,-68.3,47.86,76,40,49.48,scattered clouds
5,Shubarshi,KZ,48.5872,57.1869,31.8,99,100,21.52,light snow
6,Butaritari,KI,3.0707,172.7902,82.72,72,74,15.26,broken clouds
7,Mount Gambier,AU,-37.8333,140.7667,69.17,64,0,7.87,clear sky
8,Ucluelet,CA,48.9329,-125.5528,35.96,73,94,4.07,overcast clouds
9,Skelleftea,SE,64.7507,20.9528,12.56,92,0,2.3,clear sky
10,Lagoa,PT,39.05,-27.9833,60.01,82,100,17.29,overcast clouds
11,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.8,92,100,6.33,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,85.28,39,96,8.86,overcast clouds
13,Yellowknife,CA,62.456,-114.3525,-29.24,99,19,5.1,few clouds
14,Iguape,BR,-24.7081,-47.5553,73.81,77,57,4.41,broken clouds
15,Hithadhoo,MV,-0.6,73.0833,81.52,69,42,6.76,scattered clouds
16,Merauke,ID,-8.4667,140.3333,83.25,75,38,13.89,scattered clouds
17,Mataura,NZ,-46.1927,168.8643,52.48,62,86,5.5,overcast clouds
18,Port Lincoln,AU,-34.7333,135.8667,72.23,51,1,8.5,clear sky
19,Torbay,CA,47.6666,-52.7314,32.58,90,43,8.01,scattered clouds
20,Luderitz,NA,-26.6481,15.1594,84.47,52,2,2.95,clear sky
21,Gombe,NG,10.2897,11.1673,75.42,17,100,10.87,overcast clouds
22,Codrington,AU,-38.2667,141.9667,68.04,69,0,12.71,clear sky
23,Tiksi,RU,71.6872,128.8694,-8.95,92,100,16.44,overcast clouds
24,Yumen,CN,40.2833,97.2,33.01,32,89,25.17,overcast clouds
25,Atuona,PF,-9.8,-139.0333,77.47,76,9,13.91,light rain
26,Qasigiannguit,GL,68.8193,-51.1922,28.65,74,100,9.13,overcast clouds
27,Lang Son,VN,21.8333,106.7333,53.2,93,100,5.41,overcast clouds
28,Albany,US,42.6001,-73.9662,49.8,64,100,6.89,overcast clouds
29,Porto Novo,BJ,6.4965,2.6036,87.3,62,96,3.76,overcast clouds
30,Katangli,RU,51.7102,143.2326,19.42,90,100,8.37,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,78.8,73,10,15.97,light rain
32,Yelbarga,IN,15.6333,76.0167,85.05,27,32,7.18,scattered clouds
33,Souillac,MU,-20.5167,57.5167,85.35,68,91,7.14,light rain
34,San Felipe,VE,10.3399,-68.7425,70.66,93,96,5.5,overcast clouds
35,Prince Rupert,CA,54.3161,-130.3201,36.5,74,98,4.68,overcast clouds
36,Hilo,US,19.7297,-155.09,67.8,87,1,5.01,clear sky
37,Hermanus,ZA,-34.4187,19.2345,85.8,54,100,4.03,overcast clouds
38,Sacama,EC,-3.9,-79.2667,49.48,97,100,2.01,light rain
39,Rancho Palos Verdes,US,33.7445,-118.387,73.22,52,1,3.0,clear sky
40,Airai,TL,-8.9266,125.4092,66.4,91,95,1.81,overcast clouds
41,Independence,US,39.0911,-94.4155,18.82,61,0,14.97,clear sky
42,Vaini,TO,-21.2,-175.2,78.96,94,20,5.75,few clouds
43,Iberia,US,29.9502,-91.7507,48.97,100,0,3.44,mist
44,Hambantota,LK,6.1241,81.1185,84.2,69,100,17.58,overcast clouds
45,Pisco,PE,-13.7,-76.2167,68.05,77,100,8.05,overcast clouds
46,Walvis Bay,NA,-22.9575,14.5053,74.08,77,21,10.71,light rain
47,Punta Arenas,CL,-53.15,-70.9167,53.71,62,75,16.11,broken clouds
48,New Norfolk,AU,-42.7826,147.0587,64.65,43,75,1.01,broken clouds
49,Kilimatinde,TZ,-5.85,34.95,79.12,63,100,1.03,light rain
50,Narsaq,GL,60.9167,-46.05,34.02,91,100,11.18,snow
51,Puerto Carreno,CO,6.189,-67.4859,78.76,59,100,13.2,overcast clouds
52,Constitucion,CL,-35.3333,-72.4167,59.94,48,0,3.76,clear sky
53,Kapaa,US,22.0752,-159.319,70.12,80,75,3.44,broken clouds
54,Geraldton,AU,-28.7667,114.6,81.01,54,62,21.85,broken clouds
55,Riyadh,SA,24.6877,46.7219,62.74,27,42,16.31,scattered clouds
56,Bethel,US,41.3712,-73.414,50.34,59,92,8.57,overcast clouds
57,Kichera,RU,55.9375,110.0997,-11.25,95,20,2.75,few clouds
